char,dialog,i,a,g,r,d,o,l,h,c
ORCS,"['grond', 'grond', 'grond', 'grond']",0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
FRODO,['smeagol'],1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
SAM,"['look', 'gate', 'open', 'see', 'way']",,,,,,,,,
PIPPIN,"['well', 'good', 'news']",,,,,,,,,
PIPPIN,['frodo'],,,,,,,,,
ARAGORN,"['eruch', 'n', 'dano', 'faela', 'hyn', 'uben', 'tanatha', 'le', 'faela']",,,,,,,,,
ARAGORN,"['news', 'frodo']",,,,,,,,,
GANDALF,"['frodo', 'aliv', 'yes', 'yes', 'aliv']",,,,,,,,,
SOLDIER,"['open', 'gate', 'quick']",,,,,,,,,
PIPPIN,['aaahhh'],,,,,,,,,
THEODEN,"['fought', 'mani', 'war', 'master', 'dwarf', 'know', 'defend', 'keep']",,,,,,,,,
GIMLI,"['certainti', 'death', 'small', 'chanc', 'success', 'wait']",,,,,,,,,
PIPPIN,"['know', 'help']",,,,,,,,,
GALADRIEL,"['know', 'woke', 'dark', 'khazad']",,,,,,,,,
TREEBEARD,['rememb'],,,,,,,,,
BOROMIR,"['place', 'peopl', 'rivendel']",,,,,,,,,
FARAMIR,['intent'],,,,,,,,,
PIPPIN,"['merri', 'merri', 'wake']",,,,,,,,,
FRODO,"['within', 'ring', 'bound', 'strength', 'govern', 'race', 'deceiv', 'anoth', 'ring', 'made', 'land', 'mordor', 'fire', 'mount', 'doom', 'dark', 'lord', 'sauron', 'forg', 'secret', 'master', 'ring', 'control', 'other', 'ring', 'pour', 'cruelti', 'malic', 'domin', 'life', 'one', 'ring', 'rule']",,,,,,,,,
ARAGORN,"['sail', 'undi', 'landswith', 'left', 'kin']",,,,,,,,,
THEODEN,"['tell', 'ride', 'aid', 'come', 'owe', 'gondor']",,,,,,,,,
SAM,"['wonder', 'ever', 'put', 'song', 'tale']",,,,,,,,,
PIPPIN,['aliv'],,,,,,,,,
THEODEN,"['ride', 'ride', 'gondor']",,,,,,,,,
ARAGORN,"['gim', 'lower', 'axe']",,,,,,,,,
GOLLUM,"['way', 'go', 'go', 'back']",,,,,,,,,
SARUMAN,"['gandalf', 'tri', 'lead', 'caradhra', 'fail', 'go']",,,,,,,,,
SAM,"['decent', 'decent', 'inde', 'gollum']",,,,,,,,,
FARAMIR,"['sinc', 'rob', 'boromir', 'stead', 'return', 'think', 'better', 'father']",,,,,,,,,
BOROMIR,['gondor'],,,,,,,,,
ARWEN,"['may', 'grace', 'valarprotect']",,,,,,,,,
ARAGORN,"['said', 'fortress', 'would', 'never', 'fall', 'men', 'defend', 'still', 'defend', 'die', 'defend']",,,,,,,,,
ORC,"['go', 'rip', 'outyour', 'filthi', 'littl', 'innard']",,,,,,,,,
ARAGORN,['get'],,,,,,,,,
PIPPIN,['merri'],,,,,,,,,
EOWYN,"['dream', 'saw', 'great', 'wave', 'climb', 'green', 'land', 'hill', 'stood', 'upon', 'brink', 'utter', 'dark', 'abyss', 'feet', 'light', 'shone', 'behind', 'could', 'turn', 'could', 'stand', 'wait']",,,,,,,,,
FRODO,"['faramir', 'must', 'let', 'go']",,,,,,,,,
BILBO,['alway'],,,,,,,,,
IROLAS,"['lord', 'denethor', 'predict', 'long', 'foreseen', 'doom']",,,,,,,,,
GOLLUM,['master'],,,,,,,,,
GANDALF,"['shall', 'pass']",,,,,,,,,
STRIDER,"['great', 'watch', 'tower', 'amon']",,,,,,,,,
FRODO,"['someth', 'right', 'keep', 'secret']",,,,,,,,,
LEGOLAS,"['would', 'die', 'stroke', 'fell']",,,,,,,,,
FRODO,"['woman', 'sing']",,,,,,,,,
MERRY,['pippin'],,,,,,,,,
FRODO,[],,,,,,,,,
MERRY,['good'],,,,,,,,,
FRODO,"['gandalf', 'told', 'wereon', 'river', 'folk']",,,,,,,,,
GRIMBOLD,"['bring', '500', 'men', 'westfold', 'lord']",,,,,,,,,
GANDALF,"['tast', 'terror', 'saruman', 'unleash', 'potent', 'driven', 'fear', 'sauron', 'ride', 'meet', 'head', 'draw', 'away', 'women', 'children', 'must', 'fight']",,,,,,,,,
ARAGORN,"['way', 'women', 'children', 'get', 'cave']",,,,,,,,,
FRODO,"['ring', 'came', 'creatur', 'gollum', 'took', 'deep', 'tunnel', 'misti', 'mountain', 'consum']",,,,,,,,,
PIPPIN,['think'],,,,,,,,,
GAFFER,"['young', 'mr', 'frodo', 'crack']",,,,,,,,,
GANDALF,"['think', 'id', 'miss', 'uncl', 'bilbo', 'birthday']",,,,,,,,,
GANDALF,"['hail', 'denethor', 'son', 'ecthelion', 'lord', 'steward', 'gondor']",,,,,,,,,
PIPPIN,"['still', 'guard']",,,,,,,,,
FRODO,['sam'],,,,,,,,,
ARAGORN,"['spi', 'track', 'parti', 'uruk', 'haiwestward', 'across', 'plain', 'taken', 'two', 'friendscapt']",,,,,,,,,
MERRY,"['tomato', 'burst']",,,,,,,,,
GAMLING,"['leav', 'hope']",,,,,,,,,
CROWD,"['speech', 'bilbo']",,,,,,,,,
MERRY,"['look', 'happi']",,,,,,,,,
FRODO,[],,,,,,,,,
LEGOLAS,"['may', 'yet', 'aliv']",,,,,,,,,
GANDALF,"['theoden', 'son', 'thengel', 'long', 'sat', 'shadow']",,,,,,,,,
BOROMIR,"['leav', 'time', 'drink', 'break', 'ale', 'men', 'thirsti']",,,,,,,,,
GANDALF,"['frodo', 'come', 'help', 'old', 'man', 'shoulder']",,,,,,,,,
FRODO,"['sam', 'without', 'guid', 'need', 'side']",,,,,,,,,
GANDALF,"['lord', 'time', 'griev', 'boromir', 'war', 'come', 'enemi', 'doorstep', 'steward', 'charg', 'defenc', 'citi', 'gondor', 'armi', 'still', 'friend', 'alon', 'fight', 'send', 'word', 'theoden', 'rohan', 'light', 'beacon']",,,,,,,,,
MERRY,"['aaagh', 'got', 'leg']",,,,,,,,,
GALADRIEL,"['build', 'armi', 'worthi', 'mordor']",,,,,,,,,
FRODO,"['wonder', 'see', 'gandalf']",,,,,,,,,
ORC,"['enough', 'fuelto', 'feed', 'fire']",,,,,,,,,
THEODEN,"['great', 'host', 'say']",,,,,,,,,
EOWYN,"['uncl', 'told', 'strang', 'thing', 'said', 'rode', 'warwith', 'thengel', 'grandfath', 'must', 'mistaken']",,,,,,,,,
SOLDIER,['watch'],,,,,,,,,
FRODO,"['gollum', 'say', 'path', 'near', 'mina', 'morgul', 'climb', 'mountain']",,,,,,,,,
FRODO,[],,,,,,,,,
THEODEN,"['break', 'upon', 'fortress', 'like', 'water', 'rock', 'saruman', 'hord', 'pillag', 'burn', 'seen', 'crop', 'resown', 'home', 'rebuilt', 'within', 'wall', 'outlast']",,,,,,,,,
TREEBEARD,"['saruman', 'wizard', 'know', 'better']",,,,,,,,,
ELROND,"['arwen', 'noth', 'death']",,,,,,,,,
GOLLUM,"['stroke', 'palm', 'precious']",,,,,,,,,
GANDALF,"['place', 'hobbit']",,,,,,,,,
GIMLI,"['heard', 'enough', 'shoot', 'stick', 'arrow', 'gob']",,,,,,,,,
SARUMAN,"['wall', 'breachedhelm', 'deep', 'fall']",,,,,,,,,
GANDALF,"['thing', 'happen', 'nothappen', 'sinc', 'elder', 'day', 'ent', 'go', 'wake', 'find', 'strong']",,,,,,,,,
PIPPIN,"['white', 'wizard', 'got', 'count', 'someth']",,,,,,,,,
THEODEN,"['come', 'elv', 'dwarv', 'lucki', 'friend', 'old', 'allianc', 'dead']",,,,,,,,,
MERRY,"['ladi', 'fair', 'brave', 'much', 'live', 'mani', 'love', 'know', 'late', 'turn', 'asid', 'know', 'much', 'point', 'hope', 'knight', 'rohan', 'capabl', 'great', 'deed', 'hobbit', 'know', 'save', 'middl', 'earth', 'want', 'help', 'friend', 'frodo', 'sam', 'pippin', 'anyth', 'wish', 'could', 'see']",,,,,,,,,
URUK-HAI,"['starv', 'noth', 'maggoti', 'breadfor', 'three', 'stink', 'day']",,,,,,,,,
BOROMIR,[],,,,,,,,,
MERRY,"['help', 'gandalf', 'help']",,,,,,,,,
ARWEN,"['look', 'two', 'day', 'five', 'wraith', 'behind', 'four', 'know']",,,,,,,,,
SAM,"['mr', 'frodo', 'mean', 'ranger', 'hurt', 'know', 'tri', 'save', 'see']",,,,,,,,,
ARAGORN,"['time', 'everi', 'day', 'frodo', 'move', 'closer', 'mordor']",,,,,,,,,
ARWEN,"['go', 'last', 'must', 'get', 'father']",,,,,,,,,
FRODO,['noth'],,,,,,,,,
FRODO,"['got', 'get', 'move', 'come', 'sam']",,,,,,,,,
ARAGORN,"['fear', 'ladi']",,,,,,,,,
GIMLI,['oh'],,,,,,,,,
ARAGORN,"['word', 'fight', 'releas', 'live', 'death', 'say']",,,,,,,,,
ARAGORN,"['gim', 'king']",,,,,,,,,
SAM,"['samwis', 'fool']",,,,,,,,,
GANDALF,"['word', 'noth']",,,,,,,,,
MERRY,['rememb'],,,,,,,,,
GANDALF,['inde'],,,,,,,,,
ARAGORN,"['everi', 'hour', 'lost', 'hasten', 'gondor', 'defeat', 'dawn', 'must', 'ride']",,,,,,,,,
ARAGORN,"['go', 'go', 'worri', 'sam', 'know', 'way', 'home']",,,,,,,,,
SAM,"['want', 'keep', 'want', 'help']",,,,,,,,,
GIMLI,"['sun', 'rise']",,,,,,,,,
THEODEN,"['eomer', 'take', 'eor', 'left', 'flank']",,,,,,,,,
ARAGORN,"['warg', 'attack']",,,,,,,,,
SAM,"['take', 'hand']",,,,,,,,,
ARAGORN,"['hannon', 'le']",,,,,,,,,
TREEBEARD,"['bless', 'bark']",,,,,,,,,
GOLLUM,"['gate', 'gate', 'gate', 'master', 'say', 'yes']",,,,,,,,,
THEODEN,"['leav', 'must']",,,,,,,,,
MERRY,"['alway', 'follow', 'everywher', 'went', 'sinc', 'tween', 'would', 'get', 'worst', 'sort', 'troubl', 'alway', 'get', 'gone', 'like', 'frodo', 'sam']",,,,,,,,,
SAM,"['treacher', 'littl', 'toad']",,,,,,,,,
FRODO,"['thus', 'fourth', 'age', 'middl', 'earth', 'began', 'fellowship', 'ring', 'though', 'etern', 'bound', 'friendship', 'love', 'end', 'thirteen', 'month', 'day', 'sinc', 'gandalf', 'sent', 'us', 'long', 'journey', 'find', 'look', 'upon', 'familiar', 'sight']",,,,,,,,,
FARAMIR,"['allegi', 'lie', 'citi', 'men', 'n', 'menor', 'glad', 'give', 'life', 'defend', 'beauti', 'memori', 'wisdom']",,,,,,,,,
MERRY,['pippin'],,,,,,,,,
GIMLI,"['come', 'get', 'rider', 'come']",,,,,,,,,
GOTHMOG,['stay'],,,,,,,,,
GANDALF,['frodo'],,,,,,,,,
BOSON,"['deni', 'us', 'passag']",,,,,,,,,
BILBO,"['come', 'come', 'welcom', 'welcom', 'oh']",,,,,,,,,
GIMLI,[],,,,,,,,,
GIMLI,"['cannot', 'jump', 'distanc', 'toss']",,,,,,,,,
PIPPIN,['aliv'],,,,,,,,,
SAM,['anyth'],,,,,,,,,
GANDALF,"['back', 'gate', 'hurri']",,,,,,,,,
GRIMA,"['kind', 'devicecould', 'bring', 'wall']",,,,,,,,,
BILBO,"['mrs', 'bracegirdl', 'nice', 'see', 'welcom', 'welcom', 'children']",,,,,,,,,
SAM,"['mr', 'frodo']",,,,,,,,,
FRODO,['gollum'],,,,,,,,,
ARAGORN,['courteous'],,,,,,,,,
MERRY,"['black', 'rider', 'look', 'someth', 'someon', 'walk', 'frodo', 'look', 'face', 'frodo']",,,,,,,,,
FRODO,['want'],,,,,,,,,
PIPPIN,"['come', 'merri']",,,,,,,,,
ARAGORN,"['hear', 'troubl', 'rohan', 'goe', 'ill', 'king']",,,,,,,,,
GOLLUM,"['told', 'go', 'away', 'away', 'goe', 'precious', 'gone', 'gone', 'gone', 'smeagol', 'free']",,,,,,,,,
THEODEN,"['draw', 'forc', 'behind', 'wall', 'bar', 'gate', 'set', 'watch', 'surround']",,,,,,,,,
PIPPIN,"['merri', 'drink']",,,,,,,,,
ARAGORN,['legola'],,,,,,,,,
THEODEN,"['cover', 'causeway', 'gate', 'armi', 'ever', 'breach', 'deep', 'wall', 'set', 'foot', 'insid', 'hornburg']",,,,,,,,,
GOLLUM,"['ask', 'us', 'busi', 'gollum', 'gollum']",,,,,,,,,
BILBO,"['cours', 'baggin', 'blockhead', 'bracegirdl', 'hardbottl']",,,,,,,,,
ORC,"['order', 'mordor', 'lord', 'eye', 'command']",,,,,,,,,
MADRIL,"['faramir', 'orc', 'taken', 'eastern', 'shore', 'number', 'great', 'nightfal', 'overrun']",,,,,,,,,
